classifier,decomposition,accuracy,recall,precision,f1
KNN,pca-antes,0.993722222222,0.994441974211,0.993006993007,0.993723965565
KNN,pca-despues,0.970555555556,0.975878168075,0.965574131104,0.970698805838
KNN,svd-antes,0.783555555556,0.791351711872,0.779054497702,0.785154957538
KNN,svd-despues,0.956666666667,0.967541129391,0.946910356832,0.957114581042
NB,pca-antes,0.830777777778,0.728768341485,0.915386763474,0.81148657012
NB,pca-despues,0.941833333333,0.981213872832,0.9095311695,0.944013689108
NB,svd-antes,0.795388888889,0.727545575811,0.841584158416,0.780420914565
NB,svd-despues,0.905277777778,0.988550466874,0.847355883754,0.912523728901
RandomForest,pca-antes,0.994777777778,0.993552690084,0.995988410965,0.994769059544
RandomForest,pca-despues,0.994833333333,0.993886171632,0.995767902885,0.994826147427
RandomForest,svd-antes,0.585555555556,0.177078701645,0.965454545455,0.299267330453
RandomForest,svd-despues,0.994666666667,0.993441529569,0.995876977936,0.994657762938
Tree,pca-antes,0.990388888889,0.990884837706,0.989894503054,0.99038942281
Tree,pca-despues,0.989388888889,0.989995553579,0.988786499389,0.989390657113
Tree,svd-antes,0.615222222222,0.428968430414,0.683250708215,0.52704179186
Tree,svd-despues,0.990722222222,0.990440195643,0.990990990991,0.990715516762
SVM,pca-antes,0.985444444444,0.978323699422,0.992444745151,0.985333631885
SVM,pca-despues,0.974944444444,0.974099599822,0.975726533794,0.974912388051
SVM,svd-antes,0.877166666667,0.821587372165,0.924221583094,0.869887600777
SVM,svd-despues,0.972,0.964428634949,0.979232505643,0.971774193548